receipt_id,date,hour,total_items,total_amount,source
REC-20250224075841-CF36B0,2025-02-24,07:00,1,3.50,SIMULATED
REC-20250224073534-C9BE41,2025-02-24,07:00,1,5.00,SIMULATED
REC-20250224072523-1D4A20,2025-02-24,07:00,1,5.50,SIMULATED
REC-20250224070548-24A44A,2025-02-24,07:00,1,4.50,SIMULATED
REC-20250224075043-DDA599,2025-02-24,07:00,1,4.50,SIMULATED
REC-20250224072933-3327B5,2025-02-24,07:00,2,9.00,SIMULATED
REC-20250224084346-D5B02A,2025-02-24,08:00,1,4.00,SIMULATED
REC-20250224084941-38204E,2025-02-24,08:00,1,3.50,SIMULATED
REC-20250224080046-CEC666,2025-02-24,08:00,3,11.50,SIMULATED
REC-20250224085540-A28382,2025-02-24,08:00,1,5.50,SIMULATED
REC-20250224080923-085D22,2025-02-24,08:00,2,7.50,SIMULATED
REC-20250224082031-4A9837,2025-02-24,08:00,1,4.50,SIMULATED
REC-20250224085351-08EB4F,2025-02-24,08:00,1,4.50,SIMULATED
REC-20250224090505-573C4B,2025-02-24,09:00,2,8.50,SIMULATED
REC-20250224094230-1DD766,2025-02-24,09:00,5,21.50,SIMULATED
REC-20250224094412-AFDFAA,2025-02-24,09:00,2,7.50,SIMULATED
REC-20250224092807-F0CA93,2025-02-24,09:00,1,4.50,SIMULATED
REC-20250224093514-E4A2C6,2025-02-24,09:00,1,4.50,SIMULATED
REC-20250224090314-8DE584,2025-02-24,09:00,1,4.50,SIMULATED
REC-20250224093215-FCBC20,2025-02-24,09:00,1,4.00,SIMULATED
REC-20250224094659-AFD250,2025-02-24,09:00,2,9.50,SIMULATED
REC-20250224090606-A28DB1,2025-02-24,09:00,2,6.00,SIMULATED
REC-20250224094141-3C413A,2025-02-24,09:00,1,2.50,SIMULATED
REC-20250224105506-16BCDE,2025-02-24,10:00,1,4.50,SIMULATED
REC-20250224102711-0AB7A9,2025-02-24,10:00,2,9.00,SIMULATED
REC-20250224102851-B9AAF3,2025-02-24,10:00,3,13.50,SIMULATED
REC-20250224100559-E35333,2025-02-24,10:00,2,7.00,SIMULATED
REC-20250224105703-BA6FAC,2025-02-24,10:00,1,4.50,SIMULATED
